Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL
ANDAMEN,ANDAMEN Pink Slim Fit Shirt,₹4590.00,₹4590.00,0,0,https://www.tatacliq.com/andamen-pink-slim-fit-shirt/p-mp000000019055745
Crimsoune Club,Crimsoune Club Red & Navy Cotton Slim Fit Striped Shirt,₹1359.00,₹1699.00,0,0,https://www.tatacliq.com/crimsoune-club-red-navy-cotton-slim-fit-striped-shirt/p-mp000000019082124
Parx,Parx Black Slim Fit Printed Shirt,₹989.00,₹1799.00,0,0,https://www.tatacliq.com/parx-black-slim-fit-printed-shirt/p-mp000000018481354
Wrangler,Wrangler Blue Cotton Regular Fit Checks Shirt,₹1099.00,₹2199.00,0,0,https://www.tatacliq.com/wrangler-blue-cotton-regular-fit-checks-shirt/p-mp000000017790969
Wrangler,Wrangler Green Cotton Regular Fit Shirt,₹1209.00,₹2199.00,0,0,https://www.tatacliq.com/wrangler-green-cotton-regular-fit-shirt/p-mp000000017790809
Peter England,Peter England Jeans Green Cotton Slim Fit Checks Shirt,₹1299.00,₹1999.00,0,0,https://www.tatacliq.com/peter-england-jeans-green-cotton-slim-fit-checks-shirt/p-mp000000018205054
Louis Philippe Sport,Louis Philippe Sport Grey Cotton Slim Fit Shirt,₹1799.00,₹2399.00,0,0,https://www.tatacliq.com/louis-philippe-sport-grey-cotton-slim-fit-shirt/p-mp000000018941938
Lee,Lee Light Blue Slim Fit Printed Shirt,₹1099.00,₹2199.00,0,0,https://www.tatacliq.com/lee-light-blue-slim-fit-printed-shirt/p-mp000000017625434
The Bear House,The Bear House Off White Slim Fit Striped Cotton Linen Shirt,₹1497.00,₹2495.00,0,0,https://www.tatacliq.com/the-bear-house-off-white-slim-fit-striped-cotton-linen-shirt/p-mp000000017819993
ETA,ETA by Westside Printed Off-White Resort Fit Shirt,₹1299.00,₹1299.00,4.0,1,https://www.tatacliq.com/eta-by-westside-printed-off-white-resort-fit-shirt/p-mp000000018335349
Peter England,Peter England Casuals Pink Cotton Slim Fit Printed Shirt,₹1349.00,₹1799.00,0,0,https://www.tatacliq.com/peter-england-casuals-pink-cotton-slim-fit-printed-shirt/p-mp000000018204986
Campus Sutra,Campus Sutra Red Cotton Regular Fit Checks Shirt,₹799.00,₹1899.00,0,0,https://www.tatacliq.com/campus-sutra-red-cotton-regular-fit-checks-shirt/p-mp000000018268439
WES Casuals,WES Casuals by Westside Sage Striped Slim Fit Shirt,₹1299.00,₹1299.00,0,0,https://www.tatacliq.com/wes-casuals-by-westside-sage-striped-slim-fit-shirt/p-mp000000017974481
ETA,ETA by Westside Striped Sage-Colored Resort Fit Shirt,₹999.00,₹999.00,5.0,1,https://www.tatacliq.com/eta-by-westside-striped-sage-colored-resort-fit-shirt/p-mp000000018335111
The Bear House,The Bear House Teal Blue Slim Fit Shirt,₹1247.00,₹2495.00,0,0,https://www.tatacliq.com/the-bear-house-teal-blue-slim-fit-shirt/p-mp000000017819868
WES Casuals,WES Casuals by Westside White Floral Printed Slim - Fit Shirt,₹1299.00,₹1299.00,0,0,https://www.tatacliq.com/wes-casuals-by-westside-white-floral-printed-slim--fit-shirt/p-mp000000017974494
Van Heusen,Van Heusen Black Cotton Slim Fit Shirt,₹1874.00,₹2499.00,0,0,https://www.tatacliq.com/van-heusen-black-cotton-slim-fit-shirt/p-mp000000016951619
