Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL 
Vark,"Vark by Westside Green Floral Straight Kurta, Palazzos & Dupatta Set",₹2299.00,₹2299.00,5.0,2,https://www.tatacliq.com/vark-by-westside-green-floral-straight-kurta-palazzos-dupatta-set/p-mp000000019444431
Vark,"Vark by Westside Pink Gota Embroidered Kurta, Pants & Dupatta Set",₹2799.00,₹2799.00,4.0,4,https://www.tatacliq.com/vark-by-westside-pink-gota-embroidered-kurta-pants-dupatta-set/p-mp000000019373708
Yufta,Yufta Blue Embroidered Kurta Pant Set With Dupatta,₹1479.00,₹3699.00,3.63,8,https://www.tatacliq.com/yufta-blue-embroidered-kurta-pant-set-with-dupatta/p-mp000000013478316
Vark,"Vark by Westside Teal Embroidered Kurta, Palazzos & Dupatta Set",₹2799.00,₹2799.00,0,0,https://www.tatacliq.com/vark-by-westside-teal-embroidered-kurta-palazzos-dupatta-set/p-mp000000019328288
Vark,"Vark by Westside Green Embroidered Kurta, Palazzos & Dupatta Set",₹2799.00,₹2799.00,0,0,https://www.tatacliq.com/vark-by-westside-green-embroidered-kurta-palazzos-dupatta-set/p-mp000000019328255
Vark,"Vark by Westside Blue Lucknowi Umbrella Kurta, Pants & Dupatta Set",₹3299.00,₹3299.00,5.0,3,https://www.tatacliq.com/vark-by-westside-blue-lucknowi-umbrella-kurta-pants-dupatta-set/p-mp000000019365392
Ishin,Ishin Royal Blue Embroidered Kurta Palazzo Set,₹1249.00,₹4599.00,3.86,43,https://www.tatacliq.com/ishin-royal-blue-embroidered-kurta-palazzo-set/p-mp000000006182723
Vark,"Vark by Westside Mustard Yellow Lucknowi Umbrella Kurta, Pant & Dupatta",₹3299.00,₹3299.00,0,0,https://www.tatacliq.com/vark-by-westside-mustard-yellow-lucknowi-umbrella-kurta-pant-dupatta/p-mp000000019373698
Khushal K,Khushal K Blue & Pink Cotton Floral Print Kurta Palazzo With Dupatta,₹1709.70,₹5699.00,3.66,38,https://www.tatacliq.com/khushal-k-blue-pink-cotton-floral-print-kurta-palazzo-with-dupatta/p-mp000000016426178
Khushal K,Khushal K Pink Woven Pattern Kurta Palazzo Set With Dupatta,₹1529.70,₹5099.00,4.14,251,https://www.tatacliq.com/khushal-k-pink-woven-pattern-kurta-palazzo-set-with-dupatta/p-mp000000013774225
Indi Inside,Indi Inside Blue Printed Kurta Pant Set With Dupatta,₹1470.00,₹2999.00,2.0,1,https://www.tatacliq.com/indi-inside-blue-printed-kurta-pant-set-with-dupatta/p-mp000000018730488
Vark,"Vark by Westside Beige Embroidery Anarkali, Inner, Pants, Dupatta Set",₹3499.00,₹3499.00,0,0,https://www.tatacliq.com/vark-by-westside-beige-embroidery-anarkali-inner-pants-dupatta-set/p-mp000000019289334
Khushal K,Khushal K Purple Embroidered Kurta With Pant & Dupatta,₹1634.70,₹5449.00,4.21,28,https://www.tatacliq.com/khushal-k-purple-embroidered-kurta-with-pant-dupatta/p-mp000000018500051
Biba,Biba Green Printed Kurta With Pant & Dupatta,₹2799.00,₹2799.00,0,0,https://www.tatacliq.com/biba-green-printed-kurta-with-pant-dupatta/p-mp000000019269781
Vark,"Vark by Westside Peach Floral Embroidered Kurta, Palazzos & Dupatta Set",₹2999.00,₹2999.00,5.0,2,https://www.tatacliq.com/vark-by-westside-peach-floral-embroidered-kurta-palazzos-dupatta-set/p-mp000000019328249
Vark,"Vark by Westside Pink Lucknowi Umbrella Kurta, Pants & Dupatta Set",₹2799.00,₹2799.00,2.5,2,https://www.tatacliq.com/vark-by-westside-pink-lucknowi-umbrella-kurta-pants-dupatta-set/p-mp000000019216829
Ishin,Ishin Black Printed Kurta Pant Set With Dupatta,₹1899.00,₹6199.00,3.33,9,https://www.tatacliq.com/ishin-black-printed-kurta-pant-set-with-dupatta/p-mp000000011485469
Ishin,Ishin Yellow Embroidered Kurta Skirt Set With Dupatta,₹2799.00,₹6149.00,5.0,1,https://www.tatacliq.com/ishin-yellow-embroidered-kurta-skirt-set-with-dupatta/p-mp000000012642101
Yufta,Yufta Black Embroidered Tunic & Pant Set,₹1349.00,₹2999.00,0,0,https://www.tatacliq.com/yufta-black-embroidered-tunic-pant-set/p-mp000000019890123
Biba,Biba Fuchsia Kurta With Palazzo & Dupatta,₹3799.00,₹3799.00,0,0,https://www.tatacliq.com/biba-fuchsia-kurta-with-palazzo-dupatta/p-mp000000019269707
Aurelia,Aurelia Black Embroidered Kurta With Skirt & Dupatta,₹6999.00,₹6999.00,0,0,https://www.tatacliq.com/aurelia-black-embroidered-kurta-with-skirt-dupatta/p-mp000000020051416
Janasya,Janasya Pink Cotton Floral Print Kurta With Palazzo & Dupatta,₹2819.00,₹5999.00,0,0,https://www.tatacliq.com/janasya-pink-cotton-floral-print-kurta-with-palazzo-dupatta/p-mp000000018849661
Vark,"Vark by Westside Purple Embroidered Kurta, Pants & Dupatta Set",₹3299.00,₹3299.00,3.0,2,https://www.tatacliq.com/vark-by-westside-purple-embroidered-kurta-pants-dupatta-set/p-mp000000019365395
Vark,"Vark by Westside Indigo Mirror Embroidery Kurta, Palazzos & Dupatta Set",₹3299.00,₹3299.00,4.17,6,https://www.tatacliq.com/vark-by-westside-indigo-mirror-embroidery-kurta-palazzos-dupatta-set/p-mp000000019444426
KSUT,KSUT Mustard Embellished Kurta Pant Set With Dupatta,₹1388.00,₹5999.00,1.5,2,https://www.tatacliq.com/ksut-mustard-embellished-kurta-pant-set-with-dupatta/p-mp000000011976572
Vark,"Vark by Westside Turquoise Kurta with Inner, Palazzos & Dupatta",₹3499.00,₹3499.00,0,0,https://www.tatacliq.com/vark-by-westside-turquoise-kurta-with-inner-palazzos-dupatta/p-mp000000019365361
Indo Era,Indo Era Yellow Printed Crop Top & Pant Set With Jacket,₹1279.00,₹6999.00,0,0,https://www.tatacliq.com/indo-era-yellow-printed-crop-top-pant-set-with-jacket/p-mp000000019103147
Stylum,Stylum Orange Bandhani Print Kurti Sharara Set With Dupatta,₹1287.00,₹3299.00,0,0,https://www.tatacliq.com/stylum-orange-bandhani-print-kurti-sharara-set-with-dupatta/p-mp000000016820079
Khushal K,Khushal K Pink Kurta With Palazzo & Dupatta,₹1484.70,₹4949.00,3.81,21,https://www.tatacliq.com/khushal-k-pink-kurta-with-palazzo-dupatta/p-mp000000010322305
Ishin,Ishin Pink Printed Kurta Pant Set With Dupatta,₹2039.60,₹5099.00,0,0,https://www.tatacliq.com/ishin-pink-printed-kurta-pant-set-with-dupatta/p-mp000000019609931
Juniper,Juniper Green Printed Kurti Sharara Set With Dupatta,₹1750.00,₹3499.00,0,0,https://www.tatacliq.com/juniper-green-printed-kurti-sharara-set-with-dupatta/p-mp000000017425755
Yufta,Yufta Turquoise Embroidered Tunic & Pant Set,₹1349.00,₹2999.00,0,0,https://www.tatacliq.com/yufta-turquoise-embroidered-tunic-pant-set/p-mp000000019890106
W,W Yellow Embroidered Kurta Pant Set With Dupatta,₹4999.00,₹4999.00,0,0,https://www.tatacliq.com/w-yellow-embroidered-kurta-pant-set-with-dupatta/p-mp000000019626960
W,Wishful by W Light Grey Embroidered Kurta With Sharara & Dupatta,₹11999.00,₹11999.00,0,0,https://www.tatacliq.com/wishful-by-w-light-grey-embroidered-kurta-with-sharara-dupatta/p-mp000000019966615
Soch,Soch Turquoise Cotton Embroidered Kurta Pant Set With Dupatta,₹2998.00,₹2998.00,0,0,https://www.tatacliq.com/soch-turquoise-cotton-embroidered-kurta-pant-set-with-dupatta/p-mp000000019280592
Vark,"Vark by Westside Light Pink Kurta with Inner, Palazzos & Dupatta Set",₹3999.00,₹3999.00,4.2,5,https://www.tatacliq.com/vark-by-westside-light-pink-kurta-with-inner-palazzos-dupatta-set/p-mp000000019365388
Yufta,Yufta Pink Embroidered Anarkali Kurta With Pant & Dupatta,₹4499.00,₹8999.00,0,0,https://www.tatacliq.com/yufta-pink-embroidered-anarkali-kurta-with-pant-dupatta/p-mp000000019889946
Vark,Vark by Westside Embroidered Black Top with Bottom & Dupatta,₹2999.00,₹2999.00,1.0,1,https://www.tatacliq.com/vark-by-westside-embroidered-black-top-with-bottom-dupatta/p-mp000000018982214
